source_id,domain,institution,title,date,source_type,authority,priority,refresh,power_dimensions,use,status,url,notes
FR-SRC-0001,constitutional,Légifrance,Constitution du 4 octobre 1958 — texte en vigueur,2026-08-12,legal_text,PRIMARY,A0,event_driven,legal;institutional;rights,constitutional powers; rights; pluralism; law/regulation boundary,VERIFIED,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000571356/,Snapshot must use version applicable on 2026-08-12.
FR-SRC-0002,constitutional,Légifrance,Bloc de constitutionnalité,2026-08-12,legal_corpus,PRIMARY,A0,event_driven,rights;legal;judicial,fundamental rights baseline and constitutional review,VERIFIED,https://www.legifrance.gouv.fr/contenu/menu/droit-national-en-vigueur/constitution,"Includes DDHC 1789, 1946 preamble, environmental charter."
FR-SRC-0003,institutions,Vie-publique,Institutions de l'État,2026-08-12,institutional_reference,OFFICIAL_SECONDARY,A0,continuous,executive;legislative;institutional,institutional map and role descriptions,VERIFIED,https://www.vie-publique.fr/institutions-de-letat,"Use for structure/context, not as substitute for legal texts."
FR-SRC-0004,territorial,Vie-publique,Collectivités territoriales — structure and competences,2026-01-22,institutional_reference,OFFICIAL_SECONDARY,A0,event_driven,territorial;administrative;fiscal,local-government autonomy and competences,VERIFIED,https://www.vie-publique.fr/fiches/19604-quest-ce-quune-collectivite-territoriale-ou-collectivite-locale,Avoid local-to-national extrapolation.
FR-SRC-0010,macro_public_finance,INSEE,Comptes nationaux annuels 2025,2026-05-29,official_statistics,PRIMARY_STATISTICAL,A0,annual,economic;fiscal,GDP and national-account denominator,VERIFIED,https://www.insee.fr/fr/statistiques/8988793,2025 GDP: base for snapshot.
FR-SRC-0011,macro_public_finance,INSEE,Dépenses et recettes publiques 2025,2026-05-29,official_statistics,PRIMARY_STATISTICAL,A0,annual,fiscal;economic,"public expenditure, receipts, debt, compulsory levies",VERIFIED,https://www.insee.fr/fr/statistiques/2381414,Fiscal footprint is not direct-control proxy.
FR-SRC-0012,macro_public_finance,INSEE,Dépenses publiques par fonction,2026-02-05,official_statistics,PRIMARY_STATISTICAL,A0,annual,fiscal;social;health,functional distribution of public spending,VERIFIED,https://www.insee.fr/fr/statistiques/8735252,Separate financing from ownership/service provision.
FR-SRC-0013,social_protection,INSEE,Protection sociale — France portrait social 2025,2025-11-18,official_statistics,PRIMARY_STATISTICAL,A0,annual,social;fiscal,social-protection flows and beneficiary structure,VERIFIED,https://www.insee.fr/fr/statistiques/8612542,Do not infer corporatism from welfare spending.
FR-SRC-0014,health_finance,INSEE,Dépenses de santé — France portrait social 2025,2025-11-18,official_statistics,PRIMARY_STATISTICAL,A0,annual,health;fiscal,public/private health financing split,VERIFIED,https://www.insee.fr/fr/statistiques/8612570,Financing share ≠ provider ownership.
FR-SRC-0020,state_ownership,Agence des participations de l'État,Les entreprises de l'APE,2026-06-30,official_portfolio,PRIMARY,A0,continuous,ownership;governance;economic,direct state equity-control graph,VERIFIED,https://www.economie.gouv.fr/agence-participations-etat/comprendre-lape/les-entreprises-de-lape,Ownership must remain separate from regulation and subsidies.
FR-SRC-0021,state_ownership,Agence des participations de l'État,Doctrine actionnariale de l'État,2026-08-12,official_policy,PRIMARY,A0,event_driven,ownership;governance,purpose and governance of state shareholdings,VERIFIED,https://www.economie.gouv.fr/agence-participations-etat/strategie-actionnariale/notre-doctrine,Policy statement is not evidence of operational control in each company.
FR-SRC-0022,corporate_registry,INPI,Registre national des entreprises / DATA INPI,2026-08-12,official_registry,PRIMARY,A0,continuous,ownership;corporate;governance,"legal entities, officers, filings, ownership-chain inputs",VERIFIED,https://data.inpi.fr/,Beneficial-owner access is restricted; ultimate-control graph may require additional lawful sources.
FR-SRC-0023,corporate_registry,INPI,Bénéficiaires effectifs — conditions d'accès,2025-01-16,official_registry_rules,PRIMARY,A0,event_driven,ownership;transparency,access limitations for ultimate-beneficial-owner data,VERIFIED,https://www.inpi.fr/ressources/formalites-dentreprises/beneficiaires-effectifs,Explicit limitation in data-access plan.
FR-SRC-0024,corporate_structure,INSEE,Tissu productif français par catégorie d'entreprises et type de contrôle,2025-12-10,official_statistics,PRIMARY_STATISTICAL,A0,annual,economic;ownership;concentration,"large groups, ETI, foreign-control structure",VERIFIED,https://www.insee.fr/fr/statistiques/8675639,Macro structure; not individual-group ownership.
